config,seed,realized_sd_mean,real_mu_openness,real_sd_openness,real_mu_conscientiousness,real_sd_conscientiousness,real_mu_extraversion,real_sd_extraversion,real_mu_agreeableness,real_sd_agreeableness,real_mu_neuroticism,real_sd_neuroticism
abpr_e2_homog,5,0.04784830452354064,0.5011869920612603,0.0501404041853329,0.5024214012056138,0.04797994415821175,0.49633065079379135,0.044062563878761125,0.499029302865094,0.04955493345479724,0.5013582839598552,0.04750367694060015
abpr_e2_homog,6,0.05057103389343901,0.4925189406740644,0.05232499817881929,0.4960627809782408,0.05606673877548946,0.5048816450810505,0.04806055788756196,0.5090823549340988,0.0480907656062236,0.49806917961401914,0.048312109019100685
abpr_e2_homog,7,0.046784977880989245,0.49046215291129996,0.04679268398571241,0.4940268066967724,0.047821314847698526,0.49488900365730776,0.04610830208364994,0.4918086106474428,0.04536055623337021,0.4967312128774454,0.04784203225451512
abpr_e2_homog,8,0.050303083424817985,0.5066812094218167,0.0498376205506597,0.4942994124503157,0.044143736206636475,0.5064649464512954,0.05176437028859665,0.49652345894502564,0.051094097695276404,0.4994808908692601,0.05467559238292068
abpr_e2_mid,1,0.13597904620390655,0.49617129908359864,0.13652937200913023,0.5014816098045726,0.12261599077862134,0.4819649921928803,0.13278842601865412,0.48360254662612895,0.1586601160026633,0.50997581305622,0.1293013262104638
abpr_e2_mid,2,0.15113407378171836,0.5017158282276885,0.14371001823419027,0.5001794647979323,0.1601793214844164,0.49470969090680234,0.14832692631758243,0.46550011238183453,0.1556928401769579,0.49783120151938975,0.14776126269544473
abpr_e2_mid,3,0.1491072184974031,0.5112912342932551,0.13956114169634742,0.49202638263137777,0.16013005959901672,0.5293981553741473,0.15595464246042276,0.4993449427241227,0.13076786915168215,0.5091854813702956,0.15912237957954653
abpr_e2_mid,4,0.15049829511294638,0.485874984600444,0.14660963592006465,0.5096801136745787,0.14491674385274173,0.510489894613155,0.13989932454384435,0.512957412508073,0.15785290790741582,0.4837701430887498,0.16321286334066534
abpr_e2_mid,5,0.14354491357062188,0.5035609761837806,0.1504212125559987,0.5072642036168413,0.14393983247463524,0.48899195238137383,0.13218769163628336,0.4970879085952823,0.14866480036439164,0.5040748518795657,0.14251103082180042
abpr_e2_mid,6,0.151713101680317,0.4775568220221932,0.1569749945364579,0.4881883429347223,0.1682002163264684,0.5146449352431515,0.14418167366268586,0.5272470648022963,0.14427229681867076,0.49420753884205715,0.14493632705730206
abpr_e2_mid,7,0.14035493364296772,0.4713864587338999,0.14037805195713718,0.4820804200903171,0.14346394454309558,0.48466701097192344,0.13832490625094981,0.47542583194232846,0.13608166870011063,0.4901936386323367,0.14352609676354533
abpr_e2_mid,8,0.15090925027445393,0.5200436282654504,0.1495128616519791,0.48289823735094745,0.13243120861990945,0.519394839353886,0.15529311086578992,0.48957037683507715,0.1532822930858292,0.4984426726077802,0.16402677714876202
abpr_e3_O2_A2,1,0.13410532330497674,0.2184726782309009,0.12414470462207952,0.5069103918872709,0.12405737665033813,0.49271256647089473,0.15798952010336195,0.2257975133527847,0.13084291602313644,0.5043203997036688,0.13349209912596754
abpr_e3_O2_A2,2,0.14221172206366908,0.21902399319937063,0.12061800803556803,0.4939597351334293,0.16139730892151677,0.48756931184675634,0.15534134957066864,0.21019744291405196,0.1268967783429234,0.49385962262472616,0.1468051654476686
abpr_e3_O2_A2,3,0.14096314156626688,0.23555765165409856,0.12166766560227811,0.4963345911309564,0.16266766135218447,0.5336740330559261,0.14918767420438506,0.21791708514461036,0.11790210802736142,0.5035006581966383,0.15339059864512533
abpr_e3_O2_A2,4,0.13858943886278557,0.2057795146627812,0.12232036258746558,0.5233915420765749,0.14748702522984242,0.5002220766186828,0.14513794701747137,0.24427510096039207,0.12654419238758288,0.5002538324694017,0.1514576670915657
abpr_e3_O2_A2,5,0.1380583213421672,0.2185137177918477,0.1390794793838818,0.49651243275529794,0.14398171933294954,0.49191339903980263,0.1267216139619664,0.2218748760634336,0.12387595200165083,0.495523545094931,0.15663284203038735
abpr_e3_O2_A2,6,0.14131308503553647,0.2132550911982198,0.13406452362256882,0.4879370381145934,0.15574461107565515,0.5092230657573908,0.14282285780316512,0.2369436078817564,0.12952033686236572,0.5038899322088913,0.14441309581392775
abpr_e3_O2_A2,7,0.12788862481588206,0.20583245717337795,0.11341222257350342,0.4863167865771701,0.14183016708895543,0.48212699014785004,0.1333673218311865,0.2057810752080858,0.11382585991662396,0.48225000137166135,0.13700755266914105
abpr_e3_O2_A2,8,0.1392707583484057,0.23656522236657818,0.12796150534555392,0.48104256534171363,0.1384736256419252,0.5269489957604885,0.15015018688623863,0.22314518575575637,0.12958477617095712,0.4948418709642264,0.1501836976973536
abpr_e3_O8_A8,1,0.12594942218921862,0.7730506348906069,0.12324237292463651,0.5168552937486829,0.11748541473949159,0.4950239666940472,0.1285480519439355,0.7592067833433838,0.130404477406002,0.5051234502719787,0.13006679393202755
abpr_e3_O8_A8,2,0.14178996124076,0.7780050368672212,0.11995016243164108,0.4919302900482558,0.1644651364139807,0.49058712755792766,0.14976535821752202,0.7562453414676652,0.13694748873494292,0.492690001333667,0.13782166040571334
abpr_e3_O8_A8,3,0.13840903841014446,0.7801436858629641,0.1250708269470797,0.5012740348749496,0.14975703161246984,0.5359622980207206,0.1468461986804697,0.7797736576751062,0.11272863068781905,0.5184748273206743,0.15764250412288414
abpr_e3_O8_A8,4,0.14037329096288437,0.7556776082387202,0.13254614603799056,0.5118233987671776,0.13692495948990077,0.4972341216217662,0.1431683365981605,0.7815483310469454,0.12654151530997998,0.4887494655487414,0.1626854973783901
abpr_e3_O8_A8,5,0.1355430175923176,0.7696635280799136,0.1253198791409233,0.4976193740880304,0.14318646673790236,0.48920263092437877,0.128325434027375,0.763687396896258,0.13012711306679375,0.49772425111987656,0.15075619498859344
abpr_e3_O8_A8,6,0.13734890783990156,0.749311118086234,0.13018132081396755,0.4844511729509941,0.1571452206372776,0.4983391965924238,0.14216210253544034,0.7816792330724047,0.12446607368135514,0.5057460172181716,0.13278982153146723
abpr_e3_O8_A8,7,0.13155001927706397,0.7553904867161176,0.12545894968119978,0.4827145319514288,0.1377044319786704,0.4815246125211277,0.1323770533913518,0.7577602161305986,0.11573157168145927,0.4952132460394049,0.14647808965263856
abpr_e3_O8_A8,8,0.1368540731505466,0.7828764554823434,0.11691664037263562,0.4861736891483973,0.1341857918798536,0.5097062183398811,0.1482877551544509,0.7733260167759026,0.12282050963751218,0.4937292772582404,0.16205966870828065
abwi_e1_agreeableness_high,1,0.13079583753972496,0.4844003047994802,0.13286811816831084,0.513042652652841,0.12360684086146308,0.4931667751727579,0.134231654949282,0.7592824051091062,0.13254488023795816,0.5070069482435465,0.13072769348161056
abwi_e1_agreeableness_high,2,0.1471763005334074,0.4972478660660035,0.13859726153279775,0.49863033156013264,0.16250943346748678,0.4956748992419221,0.15082093269729355,0.7506008822484924,0.14083297884064017,0.5027040604090305,0.1431208961288187
abwi_e1_agreeableness_high,3,0.14463109540957741,0.5083007516675861,0.14120933038364875,0.4971558855512068,0.16283315067406817,0.533114589355544,0.15033884618632237,0.7805425733466405,0.11144304078700547,0.5095556594908937,0.1573311090168423
abwi_e1_agreeableness_high,4,0.1426937015277042,0.4678820672604312,0.14515013556823103,0.5153670799792078,0.14241224005884182,0.5050072281305924,0.13932341747974694,0.7830104486185376,0.1263137369811578,0.48276261981264956,0.16026897755054328
abwi_e1_agreeableness_high,5,0.1404113489093775,0.49600850753967335,0.14726246553663178,0.4974303150418724,0.14590502901317892,0.4947584081331172,0.13007281058360212,0.7656932001385336,0.13101451085849045,0.5060172174366555,0.14780192855498422
abwi_e1_agreeableness_high,6,0.1451559837870302,0.4791702626879536,0.16347974589175354,0.49314948328921304,0.16229277462533356,0.5063552259885274,0.14411766535987358,0.7884082263170724,0.11887120094977296,0.49694833346607736,0.13701853210841727
abwi_e1_agreeableness_high,7,0.135061659575094,0.47421053208655634,0.14045137457901827,0.48539010621502093,0.13808510406240943,0.48032328516663797,0.13569032687787588,0.7555542719774677,0.11677880473227048,0.49285019199543206,0.1443026876238958
abwi_e1_agreeableness_high,8,0.1459307683260201,0.5188467605965819,0.14370693593966116,0.49638370208954746,0.13502179406182827,0.5146333762113009,0.15237531546465063,0.763048011226747,0.1327133639716382,0.49926871079419155,0.16583643219232205
abwi_e1_agreeableness_low,1,0.1354277275392655,0.4961379730939494,0.1372442152422263,0.5135517940168739,0.1274572996960296,0.48120587965254574,0.14373988589538317,0.22590959975657832,0.1318927170387219,0.5005617572041282,0.13680451982396633
abwi_e1_agreeableness_low,2,0.14254747921435068,0.4977924748119063,0.13290681430028303,0.49659687509879247,0.16172706714769244,0.49369903452056874,0.15351292155689067,0.20352305304084595,0.12404494125820131,0.49451102453587853,0.1405456518086858
abwi_e1_agreeableness_low,3,0.14643861695615784,0.5145778559362393,0.14002255746886105,0.49140398177988337,0.16028293995852297,0.5324905577588446,0.1521637079824266,0.21431825015633593,0.12032316112792112,0.5081855675943959,0.15940071824305757
abwi_e1_agreeableness_low,4,0.14204811508376064,0.483619623484039,0.14407758056914954,0.5222021987324544,0.14826012428207275,0.5002725468572684,0.14077242962616784,0.24851086733462957,0.12475498345939762,0.49674629908757884,0.15237545748201545
