family,config,baseline,metric,n_pairs,mean_baseline,mean_condition,mean_diff,ci_lo,ci_hi,cohens_dz,hedges_g,cliffs_delta,p_ttest,p_wilcoxon,wilcoxon_min_possible_p,p_holm
e3llama3b,e3llama3b_O2_A2,e3llama3b_O5_A5,pol_ei,5,1.0,0.9856535974240334,-0.014346402575966666,-0.0430392077279,0.0,-0.447213595499958,-0.5712501579659,-0.2,0.373900966300059,0.31731050786291415,0.0625,0.373900966300059
e3llama3b,e3llama3b_O2_A5,e3llama3b_O5_A5,pol_ei,5,1.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,0.0625,
e3llama3b,e3llama3b_O2_A8,e3llama3b_O5_A5,pol_ei,5,1.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,0.0625,
e3llama3b,e3llama3b_O5_A2,e3llama3b_O5_A5,pol_ei,5,1.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,0.0625,
e3llama3b,e3llama3b_O5_A8,e3llama3b_O5_A5,pol_ei,5,1.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,0.0625,
e3llama3b,e3llama3b_O8_A2,e3llama3b_O5_A5,pol_ei,5,1.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,0.0625,
e3llama3b,e3llama3b_O8_A5,e3llama3b_O5_A5,pol_ei,5,1.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,0.0625,
e3llama3b,e3llama3b_O8_A8,e3llama3b_O5_A5,pol_ei,5,1.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,0.0625,
e3llama3b,e3llama3b_O2_A2,e3llama3b_O5_A5,pol_extremity,5,1.553,1.252,-0.30100000000000005,-0.35,-0.25100000000000006,-4.669613991060877,-4.678919082080444,-1.0,0.00047532138402831746,0.0625,0.0625,0.0038025710722265397
e3llama3b,e3llama3b_O8_A8,e3llama3b_O5_A5,pol_extremity,5,1.553,1.767,0.21399999999999997,0.17299999999999996,0.2629999999999999,3.6146792179649148,3.864840362268416,1.0,0.0012731051139339724,0.0625,0.0625,0.008911735797537807
e3llama3b,e3llama3b_O2_A5,e3llama3b_O5_A5,pol_extremity,5,1.553,1.325,-0.22799999999999998,-0.28300000000000003,-0.1729999999999999,-3.194204762191466,-3.549424978860012,-1.0,0.0020325209103659813,0.0625,0.0625,0.012195125462195887
e3llama3b,e3llama3b_O8_A5,e3llama3b_O5_A5,pol_extremity,5,1.553,1.7450000000000003,0.192,0.146,0.24300000000000002,3.0666075119997127,2.6907750314134136,0.96,0.0023679999999999947,0.0625,0.0625,0.012195125462195887
e3llama3b,e3llama3b_O2_A8,e3llama3b_O5_A5,pol_extremity,5,1.553,1.3259999999999998,-0.227,-0.32600000000000007,-0.139,-1.8994319583488608,-2.4560926888933636,-1.0,0.013186883815776493,0.0625,0.0625,0.05274753526310597
e3llama3b,e3llama3b_O5_A2,e3llama3b_O5_A5,pol_extremity,5,1.553,1.452,-0.10099999999999998,-0.18399999999999994,-0.039999999999999994,-1.1008542191770954,-1.483297425516492,-0.76,0.06957280486139876,0.0625,0.0625,0.20871841458419627
e3llama3b,e3llama3b_O5_A8,e3llama3b_O5_A5,pol_extremity,5,1.553,1.6280000000000001,0.075,0.0040000000000000036,0.14500000000000007,0.817708900201076,0.7582076069312336,0.48,0.1414814557446706,0.1875,0.0625,0.2829629114893412
e3llama3b,e3llama3b_O8_A2,e3llama3b_O5_A5,pol_extremity,5,1.553,1.582,0.02899999999999996,-0.012999999999999989,0.098,0.3754064966196387,0.439545372344067,0.28,0.4484664904302274,1.0,0.0625,0.4484664904302274
e3llama3b,e3llama3b_O8_A8,e3llama3b_O5_A5,pol_var,5,0.2218499999999993,0.1691499999999997,-0.052699999999999615,-0.06718999999999951,-0.03868999999999981,-2.8782240824768186,-3.2434045064374297,-1.0,0.002998175927580239,0.0625,0.0625,0.02398540742064191
e3llama3b,e3llama3b_O2_A5,e3llama3b_O5_A5,pol_var,5,0.2218499999999993,0.18910999999999983,-0.032739999999999506,-0.05304999999999922,-0.015849999999999708,-1.399665579833982,-2.115432921759189,-1.0,0.03519383184489579,0.0625,0.0625,0.24635682291427052
e3llama3b,e3llama3b_O8_A5,e3llama3b_O5_A5,pol_var,5,0.2218499999999993,0.18108999999999983,-0.040759999999999505,-0.05894999999999952,-0.014179999999999499,-1.3318871105449013,-1.5728074318181795,-0.76,0.04081190412042305,0.125,0.0625,0.24635682291427052
e3llama3b,e3llama3b_O2_A8,e3llama3b_O5_A5,pol_var,5,0.2218499999999993,0.18553999999999943,-0.03630999999999991,-0.06415999999999973,-0.009269999999999811,-0.9951281843866702,-1.5456386315117785,-0.76,0.09009257895927988,0.125,0.0625,0.45046289479639945
e3llama3b,e3llama3b_O5_A8,e3llama3b_O5_A5,pol_var,5,0.2218499999999993,0.1995799999999996,-0.022269999999999707,-0.0415399999999994,-0.004310000000000003,-0.927115645167273,-1.1472584565074946,-0.6,0.10685507923491772,0.125,0.0625,0.45046289479639945
e3llama3b,e3llama3b_O2_A2,e3llama3b_O5_A5,pol_var,5,0.2218499999999993,0.2602599999999997,0.03841000000000039,-0.0199499999999998,0.10428000000000057,0.46940049245719556,0.5375728569780598,-0.16,0.35312622112659076,0.8125,0.0625,0.7145740527024528
e3llama3b,e3llama3b_O5_A2,e3llama3b_O5_A5,pol_var,5,0.2218499999999993,0.23343999999999981,0.011590000000000494,-0.0029499999999995086,0.026130000000000497,0.6195454134095282,0.7126708953178229,0.28,0.23819135090081758,0.4375,0.0625,0.7145740527024528
e3llama3b,e3llama3b_O8_A2,e3llama3b_O5_A5,pol_var,5,0.2218499999999993,0.2232799999999997,0.0014300000000003865,-0.021789999999999626,0.022640000000000694,0.049443221990973826,0.07558604121317641,0.12,0.9172916727247613,1.0,0.0625,0.9172916727247613
e3llama3b,e3llama3b_O5_A8,e3llama3b_O5_A5,trait_drift_mean,5,0.3793539495711532,0.33760574806783045,-0.0417482015033228,-0.048755521143900395,-0.033183198209522216,-4.0561492422867635,-2.9163419421745407,-1.0,0.000819132702162213,0.0625,0.0625,0.006553061617297704
e3llama3b,e3llama3b_O8_A8,e3llama3b_O5_A5,trait_drift_mean,5,0.3793539495711532,0.3032086412690068,-0.0761453083021464,-0.0966488965787906,-0.056381325692376805,-2.9401357303125697,-5.069422173971531,-1.0,0.0027704942804022727,0.0625,0.0625,0.01939345996281591
e3llama3b,e3llama3b_O8_A5,e3llama3b_O5_A5,trait_drift_mean,5,0.3793539495711532,0.34473436916987643,-0.03461958040127681,-0.04838926745274761,-0.01869639879577618,-1.805570467423984,-2.6267570559338758,-1.0,0.01563784691935838,0.0625,0.0625,0.0938270815161503
e3llama3b,e3llama3b_O2_A8,e3llama3b_O5_A5,trait_drift_mean,5,0.3793539495711532,0.34303568553382824,-0.036318264037325,-0.061656217808562994,-0.011846290545143624,-1.1179871290594185,-1.552324607174429,-0.76,0.06677402157721679,0.125,0.0625,0.33387010788608396
e3llama3b,e3llama3b_O2_A5,e3llama3b_O5_A5,trait_drift_mean,5,0.3793539495711532,0.34433322518912846,-0.03502072438202479,-0.06371438510098759,-0.005486864241066825,-0.8914960329041575,-1.4046201959122564,-0.68,0.1169890744442018,0.1875,0.0625,0.4679562977768072
e3llama3b,e3llama3b_O5_A2,e3llama3b_O5_A5,trait_drift_mean,5,0.3793539495711532,0.3666195214547148,-0.012734428116438412,-0.022449102756741023,0.000356387826665594,-0.8470680756180722,-0.5817401979995722,-0.36,0.1311281952735185,0.1875,0.0625,0.4679562977768072
e3llama3b,e3llama3b_O2_A2,e3llama3b_O5_A5,trait_drift_mean,5,0.3793539495711532,0.37021695644455066,-0.0091369931266026,-0.0320002266800658,0.013726240426860603,-0.3005585820518159,-0.5158446056263165,-0.28,0.5383623101109177,0.4375,0.0625,1.0
e3llama3b,e3llama3b_O8_A2,e3llama3b_O5_A5,trait_drift_mean,5,0.3793539495711532,0.38006663665251483,0.0007126870813616071,-0.014266088079507388,0.013574088648622007,0.03963346281410272,0.05504276432013327,0.04,0.9336411964374678,1.0,0.0625,1.0
